region,facet,level,variable,cluster_name,value,calculation_method,contributing_countries,regional_weight
Europe,country,0,usage_count,,177316.0,sum,"AD,AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GG,GR,HR,HU,IE,IM,IS,IT,JE,KZ,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,SM,UA,XK",50
Europe,onet_task,0,onet_task_count,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,48700732.57117237,weighted_sum,"AL,AM,AT,AZ,BE,BG,CH,CY,CZ,DE,DK,ES,FI,FR,GB,GE,GR,HU,IE,IT,KZ,LT,LV,MD,NL,NO,PL,PT,RO,RS,SE,SK,UA",173095.0
Europe,onet_task,0,onet_task_pct,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,2.0803604956815622,weighted_average,"AL,AM,AT,AZ,BE,BG,CH,CY,CZ,DE,DK,ES,FI,FR,GB,GE,GR,HU,IE,IT,KZ,LT,LV,MD,NL,NO,PL,PT,RO,RS,SE,SK,UA",173095.0
Europe,onet_task,0,onet_task_count,"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",88639340.51514246,weighted_sum,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",176191.0
Europe,onet_task,0,onet_task_pct,"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",3.6432053850650714,weighted_average,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",176191.0
Europe,onet_task,0,onet_task_count,"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",61185937.03810147,weighted_sum,"AL,AM,AT,AZ,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",174692.0
Europe,onet_task,0,onet_task_pct,"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",2.55592700295377,weighted_average,"AL,AM,AT,AZ,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",174692.0
Europe,onet_task,0,onet_task_count,none,122767013.585655,weighted_sum,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",175698.0
Europe,onet_task,0,onet_task_pct,none,4.885656068936471,weighted_average,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",175698.0
Europe,onet_task,0,onet_task_count,not_classified,744079523.758313,weighted_sum,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA,XK",176309.0
